所属模块,用例标题,前置条件,步骤,预期,优先级,用例类型,适用阶段
主流程v6.3(#10426),元数据 元数据管理 验证数据库列表-生命周期应用功能正确,无,"1. tableB（未同步至资产）所属数据源和所属数据库为：datasourceB、schemaB
只配置datasourceB的生命周期为3天；schemaB未设置生命周期；
将tableB同步至资产；
查看tableB的生命周期
2. tableC（未同步至资产）所属数据源和所属数据库为：datasourceC、schemaC
datasourceC未设置生命周期；schemaC设置生命周期为10天；
将tableC同步至资产；
查看tableC的生命周期
3. tableA（未同步至资产）所属数据源和所属数据库为：datasourceA、schemaA
先配置datasourceA的生命周期为3天；后配置schemaA的生命周期为10天；
将tableA同步至资产；
查看tableA的生命周期","1. tableB的生命周期为3天
2. tableC的生命周期为10天
3. tableA的生命周期为10天",2,功能测试,功能测试阶段
主流程v6.3(#10426),数据标准 标准管理 标准定义 验证数据标准-新建标准,无,"1. 1）点击新建标准
2）输入合格的所有业务属性值和所有技术属性值，点击【保存】|【上线】
2. 1）点击新建标准
2）输入合格的所有业务属性值和所有技术属性值，点击【取消】","1. 1）页面跳转至数据标准列表页
2）列表刷新展示新建的数据标准，且状态为“待上线”|""已上线""
2. 页面跳转至数据标准列表页",1,功能测试,功能测试阶段
主流程v6.3(#10426),数据标准 标准管理 标准定义 验证数据标准-查看详情,无,1. 点击标准的标准名称,"1. 1）右侧标准详情抽屉的弹出
2）头部显示标准中文名、发布状态、创建时间、最近发布时间、最近发布用户
3）tab页显示“标准信息”和“版本变更”",1,功能测试,功能测试阶段
主流程v6.3(#10426),数据标准 标准管理 标准映射 验证标准映射-创建标准映射功能正常,"准备表：<br>create table active_users (<br>    user_id bigint NOT NULL COMMENT '用户ID',<br>    name string NOT NULL COMMENT '用户姓名',<br>    email string NULL COMMENT '邮箱地址',<br>    address string NULL COMMENT '住址（邮寄地址）',<br>    age tinyint NULL COMMENT '用户年龄',<br>    sex tinyint NULL COMMENT '用户性别（男/女）',<br>    last_active datetime COMMENT '最近活跃时间 最近登陆时间',<br>    property0 tinyint NOT NULL,<br>    property1 tinyint NOT NULL,<br>    property2 tinyint NOT NULL,<br>    property3 tinyint NOT NULL<br>)<br>DISTRIBUTED BY HASH(`user_id`)<br>PROPERTIES(<br>    ""replication_num"" = ""1""<br>);<br><br><br>准备数据标准：<br>email（邮箱地址）","1. 1）点击【标准映射】
2）查看创建标准映射弹窗
2. “数据源类型”选择${DATASOURCE_TYPE}数据源类型
3. “数据源”选择${DATASOURCE_TYPE}数据源类型下的数据源
4. 1）选择数据库
2）点击【添加】
3）点击【确定】","1. 
2. “数据源”下拉项显示${DATASOURCE_TYPE}数据源类型下的数据源
3. “数据库”下拉项显示所选数据源下所有已同步的数据库
4. 创建标准映射成功",2,功能测试,功能测试阶段
主流程v6.3(#10426),数据标准 标准管理 标准映射 验证标准映射-标准映射字段绑功能正常,无,"1. 1）点击邮箱地址的【字段映射】；
2）查看字段绑定弹窗
2. “数据源类型”选择${DATASOURCE_TYPE}数据源类型
3. “数据源”选择${DATASOURCE_TYPE}数据源类型下的数据源
4. “数据库”选择数据库
5. 选择“数据表”，点击【确定】
6. 查看对数据标准的“映射记录”","1. 
2. “数据源”下拉项显示${DATASOURCE_TYPE}数据源类型下的数据源
3. “数据库”下拉项显示所选数据源下所有已同步的数据库
4. “数据表”选择所选库下所有已同步的数据表
5. 字段绑定成功
6. 映射记录显示新绑定字段",2,功能测试,功能测试阶段
主流程v6.3(#10426),数据标准 标准基础 词根管理 验证词根管理-新建,无,"1. 点击新建词根
2. 填写内容，点击确定","1. 弹出新建词根弹窗
2. 1）新增词根成功！
2）词根列表新增该词根",2,功能测试,功能测试阶段
主流程v6.3(#10426),数据标准 标准基础 词根管理 验证词根管理-删除,无,1. 点击删除并二次确认,"1. 1）提示删除成功；
2）词根列表删除该词根",2,功能测试,功能测试阶段
主流程v6.3(#10426),数据标准 标准基础 码表管理 验证码表管理-新建,无,"1. 点击新建代码
2. 填写内容，点击确定","1. 弹出新建代码弹窗
2. 1）提示新增代码成功！
2）代码列表新增该代码",2,功能测试,功能测试阶段
主流程v6.3(#10426),数据标准 标准基础 数据库拾取 验证数据库拾取-拾取流程,无,"1. 点击数据库拾取页面的新建拾取icon
2. 点击拾取来源下拉框
3. 1）拾取类型选择词根管理
2）拾取来源选择${DATASOURCE_TYPE}数据源类型下的数据源
3）填写拾取条件
4）点击确定
4. 1）拾取类型选择数据标准
2）拾取来源选择${DATASOURCE_TYPE}数据源类型下的数据源
3）填写拾取条件
4）点击确定
5. 1）等待拾取完成
2）查看拾取","1. 弹出新建拾取弹窗
2. 新增数据源类型下拉项
3. 全局提示：新建拾取成功；拾取列表新增该拾取
4. 全局提示：新建拾取成功；拾取列表新增该拾取
5. 1）拾取成功
2）拾取列表数据正确",2,功能测试,功能测试阶段
主流程v6.3(#10426),数据标准 标准基础 数据库拾取 验证数据库拾取-批量引用功能正常,准备词根拾取以及数据标准拾取,"1. 位置：数据标准-标准基础-数据库拾取；
选择‘词根管理’类型，点击【查看拾取】；
点击【批量引用】，二次确认
2. 位置：数据标准-标准基础-数据库拾取；
选择‘数据标准’类型，点击【查看拾取】；
点击【批量引用】，二次确认","1. 当前页面所选词根变为“已引用”状态；
勾选的词根均可在‘词根管理’菜单中查询到；
2. 当前页面所选标准变为“已引用”状态；
勾选的标准均可在‘数据标准’菜单中查询到；",2,功能测试,功能测试阶段
主流程v6.3(#10426),数据模型 建表 验证创建不同类型sparkThrift表功能正常,无,"1. 创建Hive PARQUET非事务内部表：
	- “表类型”选择“内部表”
	- “hdfs存储路径”为空
2. 创建Hive ORC非事务内部表：
	- “表类型”选择“内部表”
	- “hdfs存储路径”为空
3. 创建Hive TEXTFILE非事务内部表：
	- “表类型”选择“内部表”
	- “hdfs存储路径”为指定路径（非默认路径）
4. 创建Hive外部表：
	- “表类型”选择“外部表”
	- “hdfs存储路径”为指定路径（非默认路径）
5. 创建Hive分区表","1. 生成的建表语句正确；
PARQUET表创建成功；
2. 生成的建表语句正确；
ORC表创建成功；
3. 生成的建表语句正确；
TEXTFILE表创建成功；
4. 生成的建表语句正确；
事务表创建成功；
该表存储路径正确
5. 生成的建表语句正确；
分区表创建成功；
该表分区字段正确",2,功能测试,功能测试阶段
主流程v6.3(#10426),数据模型 建表 验证建表语句解析功能正确,"建表语句如下<br>CREATE TABLE IF NOT EXISTS `batch_test_v53x_new_asset`.`ods_bu_par4_df` (<br>`busine_line_id` STRING COMMENT '业务线ID',<br>`busine_line` INT COMMENT '业务线',<br>`bu_id` STRING COMMENT '事业 部ID',<br>`bu_name` STRING COMMENT '事业部',<br>`busi_team` STRING COMMENT '隶属商务团队',<br>`busi_team_date` STRING COMMENT '隶属时间',<br>`load_dt` TIMESTAMP COMMENT '隶属时间'<br>)<br>COMMENT 'dim维度表_新核心业务线'<br>PARTITIONED BY (<br>`data_dt` STRING COMMENT '数据时间',<br>`is_save` INT COMMENT '数据是否保留：0-否，1-是'<br>)<br>STORED AS PARQUET<br>TBLPROPERTIES ('transactional'='true');","1. 主键表建表语句解析
2. 范围分区表语句解析
3. 各数据类型字段解析","1. 字段名、字段中文名、字段类型、字符长度、数值长度、字段精度、主键、分区字段、分区类型等解析成功
2. 1）字段名、字段中文名、字段类型、字符长度、数值长度、字段精度、主键、分区字段、分区类型等解析成功
2）范围分区信息解析成功
3. 所有支持的字段类型均解析",2,功能测试,功能测试阶段
主流程v6.3(#10426),数据模型 建表 验证「规范设计」-新增数仓层级功能正常,无,"1. 进入「资产」-「数据模型」-「规范建表」页面
2. 点击「规范设计」按钮
3. 点击「新增数据层级」按钮
4. 「中文名称」输入「新增层级」
「英文名称」输入「add_catalog」
「描述」输入「test _ desc」
5. 点击「确定」按钮
6. 选择「新增层级」，点击「规范设计」按钮
7. 「模型元素」配置「业务系统」「主题域」，点击「确定」按钮
8. 进入「建表」页面，「数仓层级」选择「新增层级」
9. 新增表流程结束
10. 查看表所属数仓层级","1. 进入成功
2. 进入「规范设计」页面成功
3. 弹「新增数据层级」弹窗
4. 配置完成
5. 新增数仓层级成功
6. 弹「规范设计」弹窗
7. 配置成功
8. 展示「新增层级」下的「规范设计内容」
9. 新增表成功
10. 该表存储在「新增层级」下",2,功能测试,功能测试阶段
主流程v6.3(#10426),数据模型 建表 验证数据模型-审批功能,无,"1. 数据开发角色用户，进入数据模型-新建表，选择doris数据源、数据库、数仓层级、模型元素
表名：自定义内容：「T_doris_A」
中文名：doris表A
数据模型类型：【主键表】
2）点击下一步
2. 新增多个字段，其中包含字段ID
字段id勾选主键，分区字段，动态分区，分桶字段(分桶数1)，编辑动态分区配置：同前置条件
3. 点击【生成建表语句】按钮，建表
4. 管理员用户进入「审批中心」，审批拒绝
5. 管理员用户进入「审批中心」，审批通过","1. 1）进入数据模型新建页面
2）进入表结构页面
2. 新增成功
3. 1）提示：提交审批成功
2）我的模型-已审批页面记录新增一条记录为审批中
4. 1）表未新建，数据模型新增一条记录，为未建表状态
2）数据开发用户，我的模型-已审批页面记录状态变为已拒绝
5. 1）数据模型新增一条记录，为已建表状态
2）表详情正确
3）数据开发用户，我的模型-已审批页面记录状态变为已通过",1,功能测试,功能测试阶段
主流程v6.3(#10426),数据质量 规则任务配置 验证单表校验-【完整性校验-字段级-单字段】结果正确,无,"1. 新建单表规则，选择doris表
规则选择完整性校验-字段级，分别创建空值数、空值率、空串数、空串率的子规则，配置使校验通过
2. 立即运行查看结果
3. 修改规则，配置使其都校验不通过
4. 立即运行查看结果","1. 新建成功
2. 结果正确
3. 编辑成功
4. 结果正确",2,功能测试,功能测试阶段
主流程v6.3(#10426),数据质量 规则任务配置 验证单表校验-【准确性校验】结果正确,无,"1. 新建单表规则，选择doris表
规则选择准确性校验，分别创建求和、求平均、负值比、零值比、正值比的子规则，配置使校验通过
2. 立即运行查看结果
3. 修改规则，配置使其都校验不通过
4. 立即运行查看结果","1. 新建成功
2. 结果正确
3. 编辑成功
4. 结果正确",1,功能测试,功能测试阶段
主流程v6.3(#10426),数据质量 规则任务配置 验证单表校验-【规范性校验】结果正确,无,"1. 新建单表规则，选择doris表
规则选择规范性校验，分别创建取值范围、枚举范围、枚举个数、身份证号、手机号、邮箱、最大长度、最小长度、字符串长度、数据精度、空值数、重复数、枚举值的子规则，配置使校验通过
2. 立即运行查看结果
3. 修改规则，配置使其都校验不通过
4. 立即运行查看结果","1. 新建成功
2. 结果正确
3. 编辑成功
4. 结果正确",1,功能测试,功能测试阶段
主流程v6.3(#10426),数据质量 规则任务配置 验证单表校验-【唯一性校验】结果正确,无,"1. 新建单表规则，选择doris表
规则选择唯一性校验，分别创建重复数、重复率、非重复个数、非重复占比的子规则，配置使校验通过
2. 立即运行查看结果
3. 修改规则，配置使其都校验不通过
4. 立即运行查看结果","1. 新建成功
2. 结果正确
3. 编辑成功
4. 结果正确",1,功能测试,功能测试阶段
主流程v6.3(#10426),数据质量 规则任务配置 验证单表校验-【自定义sql-单表逻辑】结果正确,"doris数据源已存在表<br>DROP TABLE IF EXISTS doris_test;<br>CREATE TABLE IF NOT EXISTS doris_test (<br>    id INT,<br>    name STRING,<br>    age INT<br>)<br>DISTRIBUTED BY HASH(id) BUCKETS 10<br>PROPERTIES (<br>    ""replication_num"" = ""1""<br>);<br>insert into doris_test values(1,'qq',11);<br>select * from doris_test;<br><br><br>样例一：<br>select * from doris<br><br>样例二：<br>select id,name,age from doris<br><br>样例三：<br>select id,name from doris<br><br>样例四：<br>select id,name,1 from doris<br><br>样例五：<br>select SUM(id) from doris","1. 新建单表规则，选择前置中的doris表
规则选择自定义sql，输入样例sql，固定值<10000
2. 立即运行查看结果
3. 修改规则，配置使其校验不通过
4. 立即运行查看结果","1. 新建成功
2. 结果正确
3. 编辑成功
4. 结果正确",1,功能测试,功能测试阶段
主流程v6.3(#10426),数据质量 规则任务配置 验证【规则集】功能正常,"1、doris数据源已存在表：<br>建表语句：<br>drop table if exists doris_demo_data_types_source;<br>CREATE TABLE IF NOT EXISTS doris_demo_data_types_source (<br>    user_id BIGINT COMMENT ""用户ID"",<br>    created_date DATE COMMENT ""创建日期"",<br>    name VARCHAR(50) COMMENT ""姓名"",<br>    age TINYINT COMMENT ""年龄"",<br>    status SMALLINT COMMENT ""状态码"",<br>    price DECIMAL(10, 2) COMMENT ""价格"",<br>    weight FLOAT COMMENT ""重量"",<br>    rating DOUBLE COMMENT ""评分"",<br>    description STRING COMMENT ""描述信息"",<br>    gender VARCHAR(10) COMMENT ""性别"",<br>    department VARCHAR(20) COMMENT ""部门"",<br>    created_time DATETIME COMMENT ""创建时间"",<br>    birth_date DATE COMMENT ""出生日期"",<br>    is_active BOOLEAN COMMENT ""是否激活"",<br>    tags VARCHAR(100) COMMENT ""标签"",<br>    total_amount BIGINT COMMENT ""总金额"",<br>    order_count INT COMMENT ""订单数量""<br>)<br>ENGINE=olap<br>DUPLICATE KEY(user_id, created_date, name)<br>DISTRIBUTED BY HASH(user_id) BUCKETS 10<br>PROPERTIES (<br>    ""replication_num"" = ""1""<br>);<br><br>-- 插入示例数据<br>INSERT INTO doris_demo_data_types_source VALUES<br>(<br>    1001, '2024-01-15', '张三', 25, 1,<br>    99.99, 65.5, 4.5,<br>    '技术部员工', '男', '技术部',<br>    '2024-01-15 10:30:00', '1998-05-20',<br>    true, '科技,财经', 1500, 5<br>),<br>(<br>    1002, '2024-01-16', '李四', 30, 2,<br>    199.50, 55.2, 4.8,<br>    '市场部经理', '女', '市场部',<br>    '2024-01-16 14:20:00', '1993-12-10',<br>    true, '娱乐', 2500, 8<br>),<br>(<br>    1003, '2024-01-17', '王五', 22, 0,<br>    49.99, 70.1, 3.9,<br>    '销售专员', '其他', '销售部',<br>    '2024-01-17 16:45:00', '2001-08-25',<br>    false, '科技,体育', 800, 3<br>);<br><br>规则集sql：<br><br>1）select * from doris_demo_data_types_source；<br>2）select user_id，name from doris_demo_data_types_source；<br>3）select * from doris_demo_data_types_source where user_id >1005;<br>4)select 1 from doris_demo_data_types_source;","1. 新建规则集，选择前置的doris表，点击下一步
2. 下载规则模板，填写前置中的规则sql，上传
3. 配置周期调度，点击创建
4. 立即执行，查看运行结果","1. 进入规则配置
2. 上传成功,规则导入正确
3. 创建成功
4. 运行结果正确",2,功能测试,功能测试阶段
主流程v6.3(#10426),数据质量 规则任务配置 验证【多表-同源比对】功能正常,"doris数据源已存在表doris_demo_data_types_source、doris_demo1_data_types_source<br><br>建表语句：<br>drop table if exists doris_demo_data_types_source;<br>CREATE TABLE IF NOT EXISTS doris_demo_data_types_source (<br>    user_id BIGINT COMMENT ""用户ID"",<br>    created_date DATE COMMENT ""创建日期"",<br>    name VARCHAR(50) COMMENT ""姓名"",<br>    age TINYINT COMMENT ""年龄"",<br>    status SMALLINT COMMENT ""状态码"",<br>    price DECIMAL(10, 2) COMMENT ""价格"",<br>    weight FLOAT COMMENT ""重量"",<br>    rating DOUBLE COMMENT ""评分"",<br>    description STRING COMMENT ""描述信息"",<br>    gender VARCHAR(10) COMMENT ""性别"",<br>    department VARCHAR(20) COMMENT ""部门"",<br>    created_time DATETIME COMMENT ""创建时间"",<br>    birth_date DATE COMMENT ""出生日期"",<br>    is_active BOOLEAN COMMENT ""是否激活"",<br>    tags VARCHAR(100) COMMENT ""标签"",<br>    total_amount BIGINT COMMENT ""总金额"",<br>    order_count INT COMMENT ""订单数量""<br>)<br>ENGINE=olap<br>DUPLICATE KEY(user_id, created_date, name)<br>DISTRIBUTED BY HASH(user_id) BUCKETS 10<br>PROPERTIES (<br>    ""replication_num"" = ""1""<br>);<br><br>-- 插入示例数据<br>INSERT INTO doris_demo_data_types_source VALUES<br>(<br>    1001, '2024-01-15', '张三', 25, 1,<br>    99.99, 65.5, 4.5,<br>    '技术部员工', '男', '技术部',<br>    '2024-01-15 10:30:00', '1998-05-20',<br>    true, '科技,财经', 1500, 5<br>),<br>(<br>    1002, '2024-01-16', '李四', 30, 2,<br>    199.50, 55.2, 4.8,<br>    '市场部经理', '女', '市场部',<br>    '2024-01-16 14:20:00', '1993-12-10',<br>    true, '娱乐', 2500, 8<br>),<br>(<br>    1003, '2024-01-17', '王五', 22, 0,<br>    49.99, 70.1, 3.9,<br>    '销售专员', '其他', '销售部',<br>    '2024-01-17 16:45:00', '2001-08-25',<br>    false, '科技,体育', 800, 3<br>);<br><br><br><br><br><br>drop table if exists doris_demo1_data_types_source;<br>CREATE TABLE IF NOT EXISTS doris_demo1_data_types_source (<br>    user_id BIGINT COMMENT ""用户ID"",<br>    created_date VARCHAR(20) COMMENT ""创建日期"",<br>    name VARCHAR(50) COMMENT ""姓名"",<br>    age INT COMMENT ""年龄"",<br>    status INT COMMENT ""状态码"",<br>    price VARCHAR(20) COMMENT ""价格"",<br>    weight VARCHAR(20) COMMENT ""重量"",<br>    rating VARCHAR(20) COMMENT ""评分"",<br>    description VARCHAR(500) COMMENT ""描述信息"",<br>    gender VARCHAR(10) COMMENT ""性别"",<br>    department VARCHAR(20) COMMENT ""部门"",<br>    created_time VARCHAR(30) COMMENT ""创建时间"",<br>    birth_date VARCHAR(20) COMMENT ""出生日期"",<br>    is_active VARCHAR(10) COMMENT ""是否激活"",<br>    tags VARCHAR(100) COMMENT ""标签"",<br>    total_amount INT COMMENT ""总金额"",<br>    order_count INT COMMENT ""订单数量""<br>)<br>ENGINE=olap<br>DUPLICATE KEY(user_id, created_date, name)<br>DISTRIBUTED BY HASH(user_id) BUCKETS 10<br>PROPERTIES (<br>    ""replication_num"" = ""1""<br>);<br><br>-- 插入示例数据<br>INSERT INTO doris_demo_data_types_source VALUES<br>(<br>    1001, '2024-01-15', '张三', 25, 1,<br>    99, 65, 4,<br>    '技术部员工', '男', '技术部',<br>    '2024-01-15 10:30:00', '1998-05-20',<br>    'true', '科技,财经', 1500, 5<br>),<br>(<br>    1002, '2024-01-16', '李四', 30, 2,<br>    199, 55, 4,<br>    '市场部经理', '女', '市场部',<br>    '2024-01-16 14:20:00', '1993-12-10',<br>    'true', '娱乐', 2500, 8<br>)","1. 新建多表比对，左表选择前置中的表doris_demo_data_types_source
2. 右表选择前置中的表doris_demo1_data_types_source，点击下一步
3. 同名映射
4. 勾选user_id为主键
5. 勾选【记录数百分比差异】-0%
6. 创建规则
7. 立即运行规则，查看结果
8. 编辑规则，修改【记录数百分比差异】-100%
9. 立即运行规则，查看结果","1. 右表数据源默认回填左表选择的数据源，置灰不可修改
2. 进入选择字段步骤
3. 1）字段类型一致的进行映射
2）不一致的不映射并提示：主表与对照表字段类型不一致，无法比对
4. 勾选成功
5. 勾选成功
6. 创建成功
7. 质量实例校验不通过
8. 修改成功
9. 质量实例校验通过",2,功能测试,功能测试阶段
