所属模块,用例标题,前置条件,步骤,预期结果,优先级
存储组件-元数据库,验证【编辑角色】成功,无,"1. 进入【产品中心】-【数栈】-【数据资源平台】-【项目空间管理】-【成员管理】-【用户组】
2. 选择指定用户组，编辑【编辑角色】","1. 系统提示操作成功，页面/数据状态更新为最新
2. 编辑角色成功，系统给出成功反馈，相关页面/数据状态更新为最新",2
存储组件-元数据库,验证【添加用户】成功,无,"1. 进入【产品中心】-【数栈】-【数据资源平台】-【项目空间管理】-【成员管理】-【用户组】
2. 选择指定用户组","1. 系统提示操作成功，页面/数据状态更新为最新
2. 系统提示添加成功，列表中出现新添加的记录，记录内容与填写一致",1
存储组件-元数据库,验证超管或租户所有者或租户管理员【移出项目】失败,无,"1. 进入【产品中心】-【数栈】-【数据资源平台】-【项目空间管理】-【成员管理】-【用户】
2. 选择指定用户，且用户为超管或租户所有者或租户管理员，【移出项目】","1. 系统提示操作成功，页面/数据状态更新为最新
2. 移出失败",2
存储组件-元数据库,验证非超管、租户所有者、租户管理员【移出项目】成功,无,"1. 进入【产品中心】-【数栈】-【数据资源平台】-【项目空间管理】-【成员管理】-【用户】
2. 选择指定用户，且用户为非超管、租户所有者、租户管理员，【移出项目】","1. 系统提示操作成功，页面/数据状态更新为最新
2. 移出成功，系统给出成功反馈，相关页面/数据状态更新为最新",2
存储组件-元数据库,验证【编辑角色】成功,无,"1. 进入【产品中心】-【数栈】-【数据资源平台】-【项目空间管理】-【成员管理】-【用户】
2. 选择指定用户，编辑【编辑角色】","1. 系统提示操作成功，页面/数据状态更新为最新
2. 编辑角色成功，系统给出成功反馈，相关页面/数据状态更新为最新",2
存储组件-元数据库,验证【添加用户】成功,无,"1. 进入【产品中心】-【数栈】-【数据资源平台】-【项目空间管理】-【成员管理】-【用户】
2. 选择指定用户","1. 系统提示操作成功，页面/数据状态更新为最新
2. 系统提示添加成功，列表中出现新添加的记录，记录内容与填写一致",1
存储组件-元数据库,验证【成员管理】-【用户】数据返回正确,无,"1. 进入【产品中心】-【数栈】-【数据资源平台】-【项目空间管理】-【成员管理】-【用户】
2. 按【账号】搜索","1. 系统提示操作成功，页面/数据状态更新为最新
2. 数据返回正确，内容与预期完全一致，无异常或错误",2
存储组件-元数据库,验证【取消关联】成功,无,"1. 进入【产品中心】-【数栈】-【数据资源平台】-【项目空间管理】
2. 取消关联指定项目","1. 系统提示操作成功，页面/数据状态更新为最新
2. 取消关联成功，系统给出成功反馈，相关页面/数据状态更新为最新",2
存储组件-元数据库,验证【删除】成功,无,"1. 进入【产品中心】-【数栈】-【数据资源平台】-【项目空间管理】
2. 输入【项目空间名称】，删除指定项目","1. 系统提示操作成功，页面/数据状态更新为最新
2. 系统提示删除成功，该条记录从列表中消失，总记录数减1",2
存储组件-元数据库,验证【编辑】成功,无,"1. 进入【产品中心】-【数栈】-【数据资源平台】-【项目空间管理】
2. 编辑指定项目","1. 系统提示操作成功，页面/数据状态更新为最新
2. 系统提示编辑成功，修改内容已更新，页面显示最新内容",2
存储组件-元数据库,验证【置顶】成功,无,"1. 进入【产品中心】-【数栈】-【数据资源平台】-【项目空间管理】
2. 选择指定项目取消置顶","1. 系统提示操作成功，页面/数据状态更新为最新
2. 取消置顶成功，系统给出成功反馈，相关页面/数据状态更新为最新",2
存储组件-元数据库,验证【置顶】成功,无,"1. 进入【产品中心】-【数栈】-【数据资源平台】-【项目空间管理】
2. 选择指定项目置顶","1. 系统提示操作成功，页面/数据状态更新为最新
2. 置顶成功，系统给出成功反馈，相关页面/数据状态更新为最新",2
存储组件-元数据库,验证【项目空间管理】数据返回正确,无,"1. 进入【产品中心】-【数栈】-【数据资源平台】-【项目空间管理】
2. 按【项目空间名称】、【子产品】搜索","1. 系统提示操作成功，页面/数据状态更新为最新
2. 数据返回正确，内容与预期完全一致，无异常或错误",2
存储组件-元数据库,验证【创建项目】（关联项目）成功,无,"1. 进入【产品中心】-【数栈】-【数据资源平台】，在项目空间管理创建项目
2. 选择【选择要关联的产品项目】：已有项目，编辑设置项","1. 系统提示操作成功，页面/数据状态更新为最新
2. 项目关联成功，系统给出成功反馈，相关页面/数据状态更新为最新",2
存储组件-元数据库,验证【创建项目】（新建项目）成功,无,"1. 进入【产品中心】-【数栈】-【数据资源平台】，在项目空间管理创建项目
2. 选择【选择要关联的产品项目】：新建项目，编辑设置项","1. 系统提示操作成功，页面/数据状态更新为最新
2. 项目创建成功，系统给出创建成功提示，列表中出现新创建的记录",1
存储组件-元数据库,验证【系统公告】数据返回正确,无,"1. 进入【产品中心】-【数栈】-【数据资源平台】-【页面设置】-【系统公告设置】，输入公告内容，并保存
2. 返回【产品中心】-【数栈】-【数据资源平台】，查看系统公告","1. 系统提示操作成功，页面/数据状态更新为最新
2. 内容与设置一致",2
存储组件-元数据库,验证功能模块 公共管理 告警通道 设为默认通道,无,"1. 进入【公共组件】-【告警通道】-【新增告警通道】
2. 指定告警通道为默认通道","1. 系统提示操作成功，页面/数据状态更新为最新
2. 设置成功，系统给出成功反馈，相关页面/数据状态更新为最新",2
存储组件-元数据库,验证功能模块 公共管理 告警通道 删除告警通道,无,"1. 进入【公共组件】-【告警通道】-【新增告警通道】
2. 删除指定告警通道","1. 系统提示操作成功，页面/数据状态更新为最新
2. 系统提示删除成功，该条记录从列表中消失，总记录数减1",2
存储组件-元数据库,验证功能模块 公共管理 告警通道 编辑告警通道,无,"1. 进入【公共组件】-【告警通道】-【新增告警通道】
2. 编辑指定告警通道","1. 系统提示操作成功，页面/数据状态更新为最新
2. 系统提示编辑成功，修改内容已更新，页面显示最新内容",2
存储组件-元数据库,验证功能模块 公共管理 告警通道 新增告警通道,https://dtstack.yuque.com/rd-center/sm6war/ywbh572yzcb6x9tr,"1. 进入【公共组件】-【告警通道】-【新增告警通道】
2. 编辑配置项","1. 系统提示操作成功，页面/数据状态更新为最新
2. 系统提示新增成功，列表顶部出现一条新建记录，内容与填写一致",1
存储组件-元数据库,验证功能模块 公共管理 告警通道 SFTP配置,无,"1. 进入【公共组件】-【告警通道】-【SFTP配置】
2. 编辑配置项","1. 系统提示操作成功，页面/数据状态更新为最新
2. 保存成功，并且测试连通性通过",2
存储组件-元数据库,验证切换【维护模式】成功,无,"1. 进入【公共组件】-【告警通道】
2. 切换【维护模式】","1. 系统提示操作成功，页面/数据状态更新为最新
2. 成功切换至目标页签/状态，页面内容随之刷新显示",2
存储组件-元数据库,验证【告警通道】数据返回正确,无,1. 进入【公共组件】-【告警通道】,1. 数据返回正确，内容与预期完全一致，无异常或错误,2
存储组件-元数据库,验证切换【是否应用】成功,无,"1. 进入【公共组件】-【审批中心】-【流程管理】，选择指定流程
2. 启用指定流程
3. 停用指定流程","1. 系统提示操作成功，页面/数据状态更新为最新
2. 系统提示启用成功，该条记录状态变为【启用/已启用】
3. 停用成功，系统给出成功反馈，相关页面/数据状态更新为最新",2
存储组件-元数据库,验证编辑【流程管理】成功,无,"1. 进入【公共组件】-【审批中心】-【流程管理】，选择指定流程
2. 编辑配置项后保存","1. 系统提示操作成功，页面/数据状态更新为最新
2. 系统提示编辑成功，修改内容已更新，页面显示最新内容",1
存储组件-元数据库,验证【流程管理】数据返回正确,无,"1. 进入【公共组件】-【审批中心】-【流程管理】
2. 按【流程名称】、【对接内容】、【应用租户】搜索","1. 系统提示操作成功，页面/数据状态更新为最新
2. 数据返回正确，内容与预期完全一致，无异常或错误",2
存储组件-元数据库,验证【我的申请】数据返回正确,无,"1. 进入【公共组件】-【我的申请】
2. 选择【已结束】，按【租户】、【申请人】搜索各子产品
3. 选择【审批中】，按【租户】搜索各子产品","1. 系统提示操作成功，页面/数据状态更新为最新
2. 数据返回正确，内容与预期完全一致，无异常或错误
3. 数据返回正确，内容与预期完全一致，无异常或错误",2
存储组件-元数据库,验证【审批授权】数据返回正确,无,"1. 进入【公共组件】-【审批中心】
2. 选择【待我审批】，按照【申请人】、【租户】搜索各子产品申请数据
3. 选择【我已审批】，按照【申请人】、【租户】搜索各子产品申请数据
4. 选择【全部审批】，按照【申请人】、【租户】搜索各子产品申请数据","1. 系统提示操作成功，页面/数据状态更新为最新
2. 数据返回正确，内容与预期完全一致，无异常或错误
3. 数据返回正确，内容与预期完全一致，无异常或错误
4. 数据返回正确，内容与预期完全一致，无异常或错误",2
存储组件-元数据库,验证删除数据源成功,无,"1. 进入【公共组件】-【数据源中心】
2. 删除数据源","1. 系统提示操作成功，页面/数据状态更新为最新
2. 系统提示删除成功，该条记录从列表中消失，总记录数减1",2
存储组件-元数据库,验证授权数据源成功,无,"1. 进入【公共组件】-【数据源中心】
2. 授权数据源","1. 系统提示操作成功，页面/数据状态更新为最新
2. 授权成功，并且测试连通性通过",2
存储组件-元数据库,验证编辑数据源成功,无,"1. 进入【公共组件】-【数据源中心】
2. 编辑数据源","1. 系统提示操作成功，页面/数据状态更新为最新
2. 编辑成功，并且测试连通性通过",2
存储组件-元数据库,验证【新增数据源】成功,无,"1. 进入【公共组件】-【数据源中心】
2. 新增数据源","1. 系统提示操作成功，页面/数据状态更新为最新
2. 新增成功，并且测试连通性通过",1
存储组件-元数据库,验证【告警记录】数据返回正确,无,"1. 进入【公共组件】-【告警配置】-【告警记录】
2. 按【告警名称】、【告警时间】搜索","1. 系统提示操作成功，页面/数据状态更新为最新
2. 数据返回正确，内容与预期完全一致，无异常或错误",2
存储组件-元数据库,验证删除告警配置成功,告警通道已添加,"1. 进入【公共组件】-【告警配置】-【告警配置】
2. 删除指定告警配置","1. 系统提示操作成功，页面/数据状态更新为最新
2. 告警配置删除成功，系统给出删除成功提示，该记录从列表中消失",2
存储组件-元数据库,验证开启告警配置成功,告警通道已添加,"1. 进入【公共组件】-【告警配置】-【告警配置】
2. 开启指定告警配置","1. 系统提示操作成功，页面/数据状态更新为最新
2. 告警配置开启成功，系统给出成功反馈，相关页面/数据状态更新为最新",2
存储组件-元数据库,验证关闭告警配置成功,告警通道已添加,"1. 进入【公共组件】-【告警配置】-【告警配置】
2. 关闭指定告警配置","1. 系统提示操作成功，页面/数据状态更新为最新
2. 告警配置关闭成功，系统给出成功反馈，相关页面/数据状态更新为最新",2
存储组件-元数据库,验证修改告警配置成功,告警通道已添加,"1. 进入【公共组件】-【告警配置】-【告警配置】
2. 修改指定告警配置的【告警名称】、【数据源名称】、【告警触发】、【告警方式】、【接收人】","1. 系统提示操作成功，页面/数据状态更新为最新
2. 告警配置修改成功，系统给出成功反馈，相关页面/数据状态更新为最新",2
存储组件-元数据库,验证功能模块 公共管理 数据源中心 告警配置 告警配置 添加告警,告警通道已添加,"1. 进入【公共组件】-【告警配置】-【告警配置】
2. 配置【告警名称】、【数据源名称】、【告警触发】、【告警方式】、【接收人】","1. 系统提示操作成功，页面/数据状态更新为最新
2. 告警配置添加成功，系统给出成功反馈，相关页面/数据状态更新为最新",1
存储组件-元数据库,验证【告警配置】数据返回正确,无,"1. 进入【公共组件】-【告警配置】-【告警配置】
2. 按告警名称搜索","1. 系统提示操作成功，页面/数据状态更新为最新
2. 数据返回正确，内容与预期完全一致，无异常或错误",2
存储组件-元数据库,验证【数据预览配置】编辑成功,无,"1. 进入【公共组件】-【数据源中心】
2. 编辑【数据预览配置】","1. 系统提示操作成功，页面/数据状态更新为最新
2. 系统提示编辑成功，修改内容已更新，页面显示最新内容",2
存储组件-元数据库,验证【数据源中心】数据返回正确,无,"1. 进入【公共组件】-【数据源中心】
2. 按【租户】、【数据源名称】、【类型】、【授权产品】搜索","1. 系统提示操作成功，页面/数据状态更新为最新
2. 数据返回正确，内容与预期完全一致，无异常或错误",2
存储组件-元数据库,验证公共管理成功,无,"1. 进入【控制台】-【多集群管理】，新增集群
2. 点击公共组件","1. 成功进入【控制台】-【多集群管理】，新增集群页面，页面内容正常加载显示，无报错
2. 成功进入公共组件",2
存储组件-元数据库,验证【全局配置】-【生命周期管理】编辑生命周期成功,无,1. 进入【控制台】-【全局配置】-【生命周期管理】，编辑生命周期,1. 系统提示编辑成功，修改内容已更新，页面显示最新内容,1
存储组件-元数据库,验证【全局配置】-【生命周期管理】数据返回正确,无,1. 进入【控制台】-【全局配置】-【生命周期管理】,1. 数据返回正确，内容与预期完全一致，无异常或错误,2
存储组件-元数据库,验证【全局配置】-【自定义调度日期】删除自定义调度日期成功,无,1. 进入【控制台】-【全局配置】-【自定义调度日期】，删除自定义调度日期,1. 系统提示删除成功，该条记录从列表中消失，总记录数减1,2
存储组件-元数据库,验证【全局配置】-【自定义调度日期】编辑自定义调度日期成功,无,1. 进入【控制台】-【全局配置】-【自定义调度日期】，编辑自定义调度日期,1. 系统提示编辑成功，修改内容已更新，页面显示最新内容,2
存储组件-元数据库,验证【全局配置】-【自定义调度日期】添加自定义调度日期成功,无,1. 进入【控制台】-【全局配置】-【自定义调度日期】，添加自定义调度日期,1. 系统提示新增成功，列表顶部出现一条新建记录，内容与填写一致,1
存储组件-元数据库,验证【全局配置】-【自定义调度日期】数据返回正确,无,1. 进入【控制台】-【全局配置】-【自定义调度日期】,1. 数据返回正确，内容与预期完全一致，无异常或错误,2
存储组件-元数据库,验证【全局配置】-【全局参数管理】删除全局参数成功,无,1. 进入【控制台】-【全局配置】-【全局参数管理】，删除全局参数,1. 系统提示删除成功，该条记录从列表中消失，总记录数减1,2
存储组件-元数据库,验证【全局配置】-【全局参数管理】编辑全局参数成功,无,1. 进入【控制台】-【全局配置】-【全局参数管理】，编辑全局参数,1. 系统提示编辑成功，修改内容已更新，页面显示最新内容,2
存储组件-元数据库,验证【全局配置】-【全局参数管理】新增全局参数成功,无,1. 进入【控制台】-【全局配置】-【全局参数管理】，新增全局参数,1. 系统提示新增成功，列表顶部出现一条新建记录，内容与填写一致,1
存储组件-元数据库,验证【全局配置】-【全局参数管理】数据返回正确,无,1. 进入【控制台】-【全局配置】-【全局参数管理】,1. 数据返回正确，内容与预期完全一致，无异常或错误,2
存储组件-元数据库,验证【多集群管理】删除存在绑定租户的集群成功,无,1. 进入【控制台】-【多集群管理】，删除存在绑定租户的集群,1. 删除失败,2
存储组件-元数据库,验证【多集群管理】删除未绑定租户的集群成功,无,1. 进入【控制台】-【多集群管理】，删除未绑定租户的集群,1. 系统提示删除成功，该条记录从列表中消失，总记录数减1,2
存储组件-元数据库,验证【多集群管理】-【绑定租户】解除绑定租户成功,无,"1. 进入【控制台】-【多集群管理】，选择指定集群的绑定租户
2. 解除绑定租户","1. 系统提示操作成功，页面/数据状态更新为最新
2. 解除绑定成功，系统给出成功反馈，相关页面/数据状态更新为最新",2
存储组件-元数据库,验证【多集群管理】-【绑定租户】绑定新租户成功,无,"1. 进入【控制台】-【多集群管理】，选择指定集群的绑定租户
2. 绑定新租户","1. 系统提示操作成功，页面/数据状态更新为最新
2. 系统提示绑定成功，绑定关系已建立，页面显示已绑定的目标",1
存储组件-元数据库,验证【多集群管理】-【绑定租户】数据返回正确,无,"1. 进入【控制台】-【多集群管理】，选择指定集群的绑定租户，按租户名称搜索
2. 查看【引擎信息】
3. 查看【通用信息】","1. 系统提示操作成功，页面/数据状态更新为最新
2. 数据返回正确，内容与预期完全一致，无异常或错误
3. 数据返回正确，内容与预期完全一致，无异常或错误",2
存储组件-元数据库,验证【多集群管理】-【资源管理】-【Yarn-NodeManager资源使用】数据返回正确,无,1. 进入【控制台】-【多集群管理】，选择指定集群的资源管理，查看【Yarn-NodeManager资源使用】,1. 数据返回正确，内容与预期完全一致，无异常或错误,2
存储组件-元数据库,验证【多集群管理】-【资源管理】-【资源组】删除资源组成功,无,"1. 进入【控制台】-【多集群管理】，选择指定集群的资源管理
2. 删除指定资源组","1. 系统提示操作成功，页面/数据状态更新为最新
2. 资源组删除成功，系统给出删除成功提示，该记录从列表中消失",2
存储组件-元数据库,验证【多集群管理】-【资源管理】-【资源组】资源组取消授权成功,无,"1. 进入【控制台】-【多集群管理】，选择指定集群的资源管理，选择资源组并资源组授权
2. 取消授权指定项目","1. 系统提示操作成功，页面/数据状态更新为最新
2. 项目取消授权成功，系统给出成功反馈，相关页面/数据状态更新为最新",2
存储组件-元数据库,验证【多集群管理】-【资源管理】-【资源组】资源组授权成功,无,"1. 进入【控制台】-【多集群管理】，选择指定集群的资源管理，选择资源组并资源组授权
2. 添加授权指定项目","1. 系统提示操作成功，页面/数据状态更新为最新
2. 项目授权成功，系统给出成功反馈，相关页面/数据状态更新为最新",2
存储组件-元数据库,验证【多集群管理】-【资源管理】-【资源组】资源组授权数据返回正确,无,"1. 进入【控制台】-【多集群管理】，选择指定集群的资源管理，选择资源组并资源组授权
2. 按【租户】、【产品】、【项目】搜索","1. 系统提示操作成功，页面/数据状态更新为最新
2. 数据返回正确，内容与预期完全一致，无异常或错误",2
存储组件-元数据库,验证【多集群管理】-【资源管理】-【资源组】编辑资源组成功,无,"1. 进入【控制台】-【多集群管理】，选择指定集群的资源管理
2. 在【资源组】中编辑资源组","1. 系统提示操作成功，页面/数据状态更新为最新
2. 系统提示编辑成功，修改内容已更新，页面显示最新内容",2
存储组件-元数据库,验证【多集群管理】-【资源管理】-【资源组】新建资源组成功,无,"1. 进入【控制台】-【多集群管理】，选择指定集群的资源管理
2. 在【资源组】中新增资源组","1. 系统提示操作成功，页面/数据状态更新为最新
2. 系统提示新增成功，列表顶部出现一条新建记录，内容与填写一致",1
存储组件-元数据库,验证【多集群管理】-【资源管理】-【Hadoop资源总览】数据返回正确,无,1. 进入【控制台】-【多集群管理】，选择指定集群的资源管理，查看【Hadoop资源总览】,1. 数据返回正确，内容与预期完全一致，无异常或错误,2
存储组件-元数据库,验证【多集群管理】-【集群配置】-【计算组件】删除指定计算组件成功,无,"1. 进入【控制台】-【多集群管理】，新增集群
2. 进入集群详情后，添加指定计算组件
3. 删除指定计算组件","1. 系统提示操作成功，页面/数据状态更新为最新
2. 添加成功，并且连通性测试通过
3. 系统提示删除成功，该条记录从列表中消失，总记录数减1",2
存储组件-元数据库,验证【多集群管理】-【集群配置】-【计算组件】新增指定计算组件成功,无,"1. 进入【控制台】-【多集群管理】，新增集群
2. 进入集群详情后，添加指定计算组件","1. 系统提示操作成功，页面/数据状态更新为最新
2. 添加成功，并且连通性测试通过",2
存储组件-元数据库,验证【多集群管理】-【集群配置】-【存储组件】删除组件成功,无,"1. 进入【控制台】-【多集群管理】，新增集群
2. 进入集群详情后，添加存储组件
3. 删除存储组件","1. 系统提示操作成功，页面/数据状态更新为最新
2. 添加成功，并且连通性测试通过
3. 系统提示删除成功，该条记录从列表中消失，总记录数减1",2
存储组件-元数据库,验证【多集群管理】-【集群配置】-【存储组件】新增HDFS组件（Kerberos认证）成功,无,"1. 进入【控制台】-【多集群管理】，新增集群
2. 进入集群详情后，添加存储组件，并上传Kerberos认证文件","1. 系统提示操作成功，页面/数据状态更新为最新
2. 添加成功，并且连通性测试通过",2
存储组件-元数据库,验证【多集群管理】-【集群配置】-【存储组件】新增HDFS组件（非Kerberos认证）成功,无,"1. 进入【控制台】-【多集群管理】，新增集群
2. 进入集群详情后，添加存储组件","1. 系统提示操作成功，页面/数据状态更新为最新
2. 添加成功，并且连通性测试通过",2
存储组件-元数据库,验证【多集群管理】-【集群配置】-【资源调度组件】删除组件成功,无,"1. 进入【控制台】-【多集群管理】，新增集群
2. 进入集群详情后，添加资源调度组件
3. 删除资源调度组件","1. 系统提示操作成功，页面/数据状态更新为最新
2. 添加成功，并且连通性测试通过
3. 系统提示删除成功，该条记录从列表中消失，总记录数减1",2
存储组件-元数据库,验证【多集群管理】-【集群配置】-【资源调度组件】新增YARN组件（Kerberos认证）成功,无,"1. 进入【控制台】-【多集群管理】，新增集群
2. 进入集群详情后，添加资源调度组件，并上传Kerberos认证文件","1. 系统提示操作成功，页面/数据状态更新为最新
2. 添加成功，并且连通性测试通过",2
存储组件-元数据库,验证【多集群管理】-【集群配置】-【资源调度组件】新增YARN组件（非Kerberos认证）成功,无,"1. 进入【控制台】-【多集群管理】，新增集群
2. 进入集群详情后，添加资源调度组件","1. 系统提示操作成功，页面/数据状态更新为最新
2. 添加成功，并且连通性测试通过",2
存储组件-元数据库,验证【多集群管理】-【集群配置】-【公共组件】删除组件成功,无,"1. 进入【控制台】-【多集群管理】，新增集群
2. 进入集群详情后，添加公共组件
3. 删除公共组件","1. 系统提示操作成功，页面/数据状态更新为最新
2. 添加成功，并且连通性测试通过
3. 系统提示删除成功，该条记录从列表中消失，总记录数减1",2
存储组件-元数据库,验证【多集群管理】-【集群配置】详情页数据返回正确,无,1. 进入【控制台】-【多集群管理】，选择指定集群,1. 数据返回正确，内容与预期完全一致，无异常或错误,2
存储组件-元数据库,验证【多集群管理】新增集群成功,无,"1. 进入【控制台】-【多集群管理】，新增集群
2. 进入集群详情后，添加公共组件
3. 添加资源调度组件
4. 添加储存组件
5. 添加计算组件","1. 系统提示操作成功，页面/数据状态更新为最新
2. 添加成功，并且连通性测试通过
3. 添加成功，并且连通性测试通过
4. 添加成功，并且连通性测试通过
5. 添加成功，并且连通性测试通过",1
存储组件-元数据库,验证【多集群管理】集群列表数据返回正确,无,"1. 进入【控制台】-【多集群管理】按集群名称搜索
2. 进入【控制台】-【多集群管理】按绑定的租户名称搜索","1. 数据返回正确，内容与预期完全一致，无异常或错误
2. 数据返回正确，内容与预期完全一致，无异常或错误",2
